Name,,Location,din_rev,del_rev,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,home_delivery,offers_dining,avg_din_rate,avg_del_rate
Karodia Kachori,,Pink City,20 Dining Reviews,Does not offer Delivery,,Street Food,100,no,no,no,yes,3.4,
Karwaan Kitchen,,Civil Lines,20 Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Fast Food, Beverages",250,no,no,no,yes,,
Kasba N.D. Hotel And Resorts,,Sikar Road,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,350,no,no,yes,yes,,
Kasher Shyam Food Plaza,,Bais Godam,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,200,no,no,no,yes,,
Kashish Kitchen,,Amer Road,Does not offer Dining,Not enough Delivery Reviews,,Bakery,150,no,no,yes,no,,
Kataria Hotel,,Mansarovar,19 Dining Reviews,63 Delivery Reviews,Casual Dining ,"North Indian, Fast Food, Chinese, South Indian",700,yes,no,yes,yes,3.3,3.9
Kathi Egg Roll,,Lal Kothi,Does not offer Dining,"2,413 Delivery Reviews",,"Rolls, Fast Food, Beverages",250,no,no,yes,no,,3.6
Kathi Junction,,Raja Park,383 Dining Reviews,"1,075 Delivery Reviews",Quick Bites ,"Rolls, North Indian, Chinese, Fast Food, Pizza, Beverages",300,no,no,yes,yes,3.5,3.3
Kathi Roll Kitchen,,Tonk Road,5 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,Fast Food,300,no,no,yes,yes,2.9,
Katta Ji Sweets & Namkeen,,Amer Road,30 Dining Reviews,Does not offer Delivery,Sweet Shop ,"Mithai, Street Food",150,yes,no,no,yes,3,
Kebab Nation,,Mansarovar,134 Dining Reviews,"1,688 Delivery Reviews",Casual Dining ,"North Indian, Italian","1,100",no,no,yes,yes,4.1,3.4
Kebabs & Curries Company,,Chitrakoot,974 Dining Reviews,"6,942 Delivery Reviews",Casual Dining ,"North Indian, Kebab","1,000",no,no,yes,yes,4.3,4
Kebabs & Curries Company,,Raja Park,892 Dining Reviews,"5,257 Delivery Reviews",Casual Dining ,"North Indian, Mughlai, Chinese","1,000",no,no,yes,yes,4.4,4.1
Kebabs & Curries Company,,Malviya Nagar,"2,288 Dining Reviews","2,615 Delivery Reviews",Casual Dining ,"North Indian, Chinese",800,no,no,yes,yes,4.7,4.1
Kebabs & Curries Company,,Sitapur,624 Dining Reviews,"1,425 Delivery Reviews",Casual Dining ,"North Indian, Mughlai, Chinese, Rolls, Kebab","1,400",no,no,yes,yes,4.4,4.2
Kebabs & Curries Company,,Jagatpura,273 Dining Reviews,297 Delivery Reviews,Casual Dining ,"North Indian, Mughlai, Chinese","1,000",no,no,yes,yes,4.1,4.2
Kebabs & Curries Company,,Brahmpuri,222 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Mughlai, Chinese","1,000",no,no,yes,yes,4.2,
Kehwa Kitchen,,Tonk Phatak,49 Dining Reviews,Not enough Delivery Reviews,CAFÉ ,"Cafe, Fast Food, North Indian",600,yes,no,yes,yes,3.2,
Kekiz The Cake Shop,,Raja Park,13 Dining Reviews,Does not offer Delivery,Bakery ,Bakery,300,no,no,no,yes,3.5,
Kekiz The Cake Shop,,Sodala,13 Dining Reviews,Does not offer Delivery,Bakery ,Bakery,300,no,no,no,yes,,
Kerala Kafe,,Sodala,63 Dining Reviews,714 Delivery Reviews,Quick Bites ,South Indian,300,no,no,yes,yes,3.6,3.9
Kesar,,Durgapura,296 Dining Reviews,"1,977 Delivery Reviews",Sweet Shop ,Mithai,200,yes,no,yes,yes,4,3.8
Kesar Da Dhaba,,Ajmer Highway,Does not offer Dining,631 Delivery Reviews,,North Indian,300,no,no,yes,no,,4.1
Kesar Da Dhaba,,Malviya Nagar,Does not offer Dining,167 Delivery Reviews,,North Indian,300,no,no,yes,no,,4.3
Kesar Dhaba Restaurant,,Sikar Road,52 Dining Reviews,993 Delivery Reviews,Quick Bites ,"North Indian, Fast Food",300,yes,no,yes,yes,3.5,4.2
