Name,,Location,din_rev,del_rev,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,home_delivery,offers_dining,avg_din_rate,avg_del_rate
1117,,Jagatpura,137 Dining Reviews,"3,418 Delivery Reviews",Casual Dining ,"North Indian, Fast Food",500,no,no,yes,yes,3.4,3.7
Feb-20,,Mansarovar,30 Dining Reviews,231 Delivery Reviews,Quick Bites ,Fast Food,300,yes,no,yes,yes,3.4,3.8
#Jaipur Darbar,,Pratap Nagar,18 Dining Reviews,126 Delivery Reviews,Quick Bites ,"North Indian, Mughlai, Chinese, Fast Food",500,no,no,yes,yes,3.5,3.8
#Underground Restro & Bar,,Vidhyadhar Nagar,13 Dining Reviews,Does not offer Delivery,Bar ,"North Indian, Mughlai",700,no,yes,no,yes,3.1,
0141 Resturant,,Jagatpura,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,350,no,no,no,yes,,
100 Feet Above Restro Bar- The Fern Residency,,Adarsh Nagar,9 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, European","1,600",no,no,no,yes,3.4,
11 Haandi,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"South Indian, Beverages, Fast Food",350,yes,no,yes,no,,
11 Haandi,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"South Indian, Chinese, Italian",250,yes,no,yes,no,,
1135 AD,,Amer,644 Dining Reviews,Does not offer Delivery,Fine Dining ,"North Indian, Mughlai, Rajasthani","2,500",no,no,no,yes,4.1,
11MG,,Mansarovar,135 Dining Reviews,837 Delivery Reviews,CAF,Cafe,400,yes,no,yes,yes,3.8,3.9
12 Miles,,Sitapur,11 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Mughlai",450,no,no,yes,yes,3,
14 Tables,,MI Road,152 Dining Reviews,Not enough Delivery Reviews,"Casual Dining, Bar ","Continental, Chinese, North Indian, Italian","1,600",no,yes,yes,yes,3.7,
180 Degree - The Theme Hotel,,Sanganer,194 Dining Reviews,726 Delivery Reviews,"Casual Dining, Bar ","North Indian, Continental, Chinese","1,400",no,yes,yes,yes,3.8,3.9
1805 Restaurant,,Jhotwara,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Beverages",400,no,no,yes,yes,2.9,
1962 The Food Club,,C Scheme,Not enough Dining Reviews,218 Delivery Reviews,Quick Bites ,"North Indian, Chinese",350,no,no,yes,yes,,4
1st Story - Four Points By Sheraton,,Gopalpura,81 Dining Reviews,Does not offer Delivery,Bar ,Finger Food,"2,500",no,yes,no,yes,3.9,
2 Countries,,Jawahar Nagar,10 Dining Reviews,Does not offer Delivery,Quick Bites ,Iranian,550,no,no,no,yes,3.6,
24/7 Restaurant- The LaLiT Jaipur,,Malviya Nagar,284 Dining Reviews,Not enough Delivery Reviews,Fine Dining ,"North Indian, Continental, Asian, Italian","3,000",no,yes,yes,yes,4,
28 29 Eatup,,Vaishali Nagar,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Chinese",500,yes,no,yes,yes,3,
3 Bites,,Sodala,18 Dining Reviews,27 Delivery Reviews,Quick Bites ,"North Indian, Fast Food, Chinese",600,yes,no,yes,yes,3.4,3.5
3 D's Restro Lounge,,Malviya Nagar,607 Dining Reviews,Does not offer Delivery,"Casual Dining, Bar ","North Indian, Chinese, Italian, Continental, Beverages","1,600",no,yes,no,yes,3.7,
36 China Town,,Sodala,9 Dining Reviews,Does not offer Delivery,Quick Bites ,Chinese,500,no,no,no,yes,3,
365 Cafe,,Malviya Nagar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Beverages",400,yes,no,no,yes,,
3D Restro Lounge,,Malviya Nagar,301 Dining Reviews,Not enough Delivery Reviews,"Lounge, Pub ","North Indian, Fast Food, Italian, Chinese, Beverages","1,600",no,yes,yes,yes,3.8,
4 Friends Cafe,,Durgapura,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,Fast Food,150,no,no,yes,yes,,
5th Alley,,C Scheme,Not enough Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese, Continental, American","1,500",no,no,yes,yes,,
60 ML,,Adarsh Nagar,158 Dining Reviews,Does not offer Delivery,Lounge ,"North Indian, Chinese, Finger Food, Bar Food","1,200",no,yes,no,yes,2.8,
7 No. Rasoi,,Jagatpura,7 Dining Reviews,85 Delivery Reviews,Quick Bites ,"North Indian, Fast Food",400,no,no,yes,yes,3,3.4
72 Singh Ka Dhaba,,Mansarovar,18 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Chinese, North Indian, Beverages",450,yes,no,yes,yes,3.3,
777 Non-Veg Takeaway,,Mansarovar,59 Dining Reviews,325 Delivery Reviews,Quick Bites ,"North Indian, Mughlai",400,no,no,yes,yes,3.7,3.6
7th Heaven,,Gopalpura,13 Dining Reviews,Not enough Delivery Reviews,Bakery ,"Bakery, Desserts, Fast Food, Beverages",350,yes,no,yes,yes,3.4,
8 Fumes,,Mansarovar,8 Dining Reviews,Does not offer Delivery,CAFÉ ,"Cafe, Fast Food",400,yes,no,no,yes,2.8,
80N Restaurant,,Vaishali Nagar,8 Dining Reviews,88 Delivery Reviews,Quick Bites ,"North Indian, South Indian, Fast Food, Chinese, Street Food",400,yes,no,yes,yes,3.2,3.5
90 Bata 3 The Desi Canteen,,Mansarovar,38 Dining Reviews,246 Delivery Reviews,Quick Bites ,"Street Food, Fast Food, North Indian, Beverages",300,yes,no,yes,yes,3.8,3.8
99 Healthy Meals,,Malviya Nagar,Does not offer Dining,54 Delivery Reviews,,"Healthy Food, Biryani, Fast Food",200,no,no,yes,no,,2.2
999.pt Cafe - Restaurant,,Pratap Nagar,111 Dining Reviews,"2,537 Delivery Reviews",Quick Bites ,"North Indian, Fast Food",300,no,no,yes,yes,2.7,2.8
A Bajat Food,,Sodala,111 Dining Reviews,"2,537 Delivery Reviews",,Fast Food,150,no,no,yes,yes,,
A Chai Story,,Mansarovar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Tea, Fast Food, Beverages",250,no,no,no,yes,,
A Little Pantry,,Vaishali Nagar,Does not offer Dining,50 Delivery Reviews,,"North Indian, Beverages, Desserts",350,yes,no,yes,no,,3.9
A.D. Cafe,,Sodala,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,Fast Food,200,no,no,no,yes,,
A-1 Chicken And Mutton,,Chitrakoot,Does not offer Dining,Not enough Delivery Reviews,,North Indian,300,no,no,yes,no,,
A1 Pinkcity Restaurant,,Jagatpura,Not enough Dining Reviews,36 Delivery Reviews,Casual Dining ,North Indian,600,no,no,yes,yes,,2.6
A2G All Together,,Lal Kothi,496 Dining Reviews,"1,089 Delivery Reviews","CAFÉ, Dessert Parlor ","Cafe, Desserts, North Indian, Chinese, Frozen Yogurt",600,yes,no,yes,yes,4,3.6
A2G All Together,,North Jaipur,496 Dining Reviews,"1,089 Delivery Reviews",,"Fast Food, North Indian, Chinese, Beverages, Italian",300,no,no,yes,yes,,
Aale Ibrahim Hotel,,Pink City,101 Dining Reviews,44 Delivery Reviews,Quick Bites ,"North Indian, Mughlai",350,no,no,yes,yes,3.8,3.9
Aamchi Jodhpur,,Sodala,Does not offer Dining,Not enough Delivery Reviews,,Fast Food,100,no,no,yes,no,,
Aamrapali Resto Bar,,Vaishali Nagar,7 Dining Reviews,Does not offer Delivery,Bar ,"Bar Food, North Indian",450,no,no,no,yes,3,
Aanandam Multi Cuisine Restaurant,,Amer Road,8 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Mughlai, Continental","1,600",no,no,no,yes,2.9,
Aao Ji Khao Ji,,Raja Park,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai, Chinese",600,no,no,yes,no,,
Aao Sa Pavitra Bhojnalaya,,Amer Road,5 Dining Reviews,39 Delivery Reviews,Dhaba ,North Indian,300,yes,no,yes,yes,3,3.7
Aapni Thali,,Gopalpura,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,500,yes,no,yes,yes,2.9,
Aapno Cafe,,Ajmer Highway,12 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Beverages, Fast Food",250,no,no,yes,yes,3.1,
Aapno Gaon,,Sikar Road,126 Dining Reviews,Does not offer Delivery,Quick Bites ,Rajasthani,600,yes,no,no,yes,3.9,
Aapno Kabab,,Jagatpura,7 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,150,no,no,yes,yes,3.4,
Aarogosa Restaurant,,Pratap Nagar,7 Dining Reviews,Does not offer Delivery,Fine Dining ,North Indian,"1,600",no,no,no,yes,2.7,
Aashima Momos,,Pratap Nagar,12 Dining Reviews,Does not offer Delivery,Quick Bites ,Momos,300,yes,no,no,yes,3.2,
Aastha,,Mansarovar,Not enough Dining Reviews,Does not offer Delivery,Dhaba ,North Indian,200,yes,no,no,yes,,
Abdul Bari Old Take Away,,MI Road,216 Dining Reviews,"2,494 Delivery Reviews",Quick Bites ,North Indian,600,no,no,yes,yes,3.9,4.2
Abdul Bari Old Take Away,,MI Road,79 Dining Reviews,719 Delivery Reviews,Quick Bites ,North Indian,600,no,no,yes,yes,3.7,4.3
Abhimanyu Garden Restaurant,,Vaishali Nagar,7 Dining Reviews,Does not offer Delivery,"Casual Dining, Bar ","Bar Food, North Indian, Mughlai",900,no,no,no,yes,3.2,
Abhineet Zeeman,,Gopalbari,Not enough Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Street Food",600,yes,no,no,yes,,
Abhishek Pohaa Bhandaar,,Shyam Nagar,67 Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,100,yes,no,no,yes,3.8,
About Vegan,,Vaishali Nagar,16 Dining Reviews,93 Delivery Reviews,Quick Bites ,"Healthy Food, Fast Food, North Indian, Street Food",300,yes,no,yes,yes,3.3,3.9
About Vegan,,Shyam Nagar,Not enough Dining Reviews,Not enough Delivery Reviews,Food Truck ,"Healthy Food, Fast Food, North Indian, Street Food",300,yes,no,yes,yes,,
Achaar Vichar,,Sindhi Camp,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai",300,no,no,yes,no,,
Achanak Juice,,Malviya Nagar,Does not offer Dining,"3,372 Delivery Reviews",Beverage Shop ,"Juices, Beverages",150,no,no,yes,no,,3.7
Achanak Juice Bar,,Malviya Nagar,Does not offer Dining,57 Delivery Reviews,Beverage Shop ,Beverages,100,no,no,yes,no,,3.7
Adams Pizza,,Malviya Nagar,Does not offer Dining,Not enough Delivery Reviews,,Pizza,700,no,no,yes,no,,
Adda,,Sodala,334 Dining Reviews,"3,696 Delivery Reviews",Quick Bites ,"South Indian, Chinese, North Indian",200,yes,no,yes,yes,3.8,4.1
Adda 2.0,,Malviya Nagar,Does not offer Dining,91 Delivery Reviews,Quick Bites ,"South Indian, North Indian",300,no,no,yes,no,,3.8
Addictive Kurries,,Sodala,15 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Chinese, Mughlai",400,no,no,yes,yes,3,
Adhinath Bakery,,Bapu Nagar,Does not offer Dining,Not enough Delivery Reviews,"Bakery, Quick Bites ","Bakery, Fast Food, Beverages",200,yes,no,yes,no,,
Adil's Take Away,,Mansarovar,228 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Mughlai",300,no,no,yes,yes,3.9,
Aditya Bhojnalaya,,Chitrakoot,20 Dining Reviews,39 Delivery Reviews,Quick Bites ,"North Indian, Rajasthani",300,yes,no,yes,yes,3.3,3.9
Adraq,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai",300,no,no,yes,no,,
Adraq,,Malviya Nagar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai",300,no,no,yes,no,,
Adraq,,Jagatpura,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai",300,no,no,yes,no,,
Adraq,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai",300,no,no,yes,no,,
Adraq,,Jagatpura,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai",300,no,no,yes,no,,
Adraq,,Malviya Nagar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai",300,no,no,yes,no,,
Advance Canteen,,Sanganer,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Street Food, Beverages",150,yes,no,no,yes,,
AFC Fried Chicken Restaurant,,Jhotwara,9 Dining Reviews,Does not offer Delivery,Quick Bites ,Fast Food,200,no,no,no,yes,3.1,
Affetto Cafe,,Gopalbari,154 Dining Reviews,545 Delivery Reviews,Casual Dining ,"North Indian, Chinese, Fast Food, Beverages",650,no,no,yes,yes,2.8,3.4
A-Four,,Shastri Nagar,Does not offer Dining,117 Delivery Reviews,,Pizza,250,no,no,yes,no,,4.3
After 7 Resto & Bar,,Mansarovar,Not enough Dining Reviews,Does not offer Delivery,Bar ,North Indian,850,no,no,no,yes,,
After 8,,Sansar Chandra Road,Not enough Dining Reviews,Does not offer Delivery,"Lounge, CAFÉ ","Finger Food, Continental, Beverages","1,500",no,yes,no,yes,,
After Dark Restaurant,,Khatipura Road,8 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,350,no,no,yes,yes,3.5,
Agarlico Cafe,,Mansarovar,57 Dining Reviews,483 Delivery Reviews,Quick Bites ,Fast Food,400,yes,no,yes,yes,3.8,3.8
Agarwal Bakes & Bites,,Khatipura Road,20 Dining Reviews,Does not offer Delivery,Bakery ,Bakery,300,no,no,no,yes,2.9,
Agarwal Caterers,,Shastri Nagar,Does not offer Dining,230.8K Delivery Reviews,"Sweet Shop, Bakery ","Mithai, Bakery",200,yes,no,yes,no,,4.4
Agarwal Caterers,,Vaishali Nagar,"2,381 Dining Reviews",104.6K Delivery Reviews,"Sweet Shop, Quick Bites ","Mithai, North Indian, South Indian, Street Food, Chinese",500,yes,no,yes,yes,4.3,4.2
Agarwal Fast Food & Juice,,Vaishali Nagar,33 Dining Reviews,313 Delivery Reviews,Quick Bites ,"South Indian, Fast Food, Beverages",200,no,no,yes,yes,3.4,4.2
Agarwal Pavitra Bhojnalya,,Pink City,20 Dining Reviews,379 Delivery Reviews,Bhojanalya ,"North Indian, Rajasthani",350,yes,no,yes,yes,2.8,3.7
Agarwal Rasoi,,Bani Park,Does not offer Dining,69 Delivery Reviews,,"North Indian, Healthy Food, Sandwich",300,yes,no,yes,no,,3.7
Agarwal Restaurant,,Gopalbari,25 Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,250,yes,no,no,yes,3.3,
Agarwal Sweets,,Amer Road,Does not offer Dining,"1,692 Delivery Reviews",Sweet Shop ,Mithai,150,yes,no,yes,no,,3.7
Agarwal's Take Away,,Jhotwara,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Fast Food, Street Food",300,no,no,yes,no,,
Agarwal's Take Away,,Jhotwara,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Fast Food, Street Food",300,no,no,yes,no,,
Agra Chaat Bhandar,,Raja Park,Does not offer Dining,Not enough Delivery Reviews,Quick Bites ,Street Food,150,no,no,yes,no,,
Agrawal Pizza And Bakery,,Vidhyadhar Nagar,Does not offer Dining,52 Delivery Reviews,,"Pizza, Bakery",450,yes,no,yes,no,,3.9
Agrawal Thali and Fast Food,,Vidhyadhar Nagar,Does not offer Dining,30 Delivery Reviews,,"Fast Food, North Indian",250,no,no,yes,no,,2.9
Ahimsagram,,Sanganer,7 Dining Reviews,Not enough Delivery Reviews,CAFÉ ,Healthy Food,400,no,no,yes,yes,3.6,
Airlift,,Jagatpura,29 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese",600,no,no,yes,yes,3.4,
Airport Cafe,,Sanganer,12 Dining Reviews,76 Delivery Reviews,Quick Bites ,"North Indian, Fast Food",300,no,no,yes,yes,3.5,3.2
Ajab Gajab Chat Bhandar,,Pink City,Not enough Dining Reviews,55 Delivery Reviews,Quick Bites ,"Fast Food, Chinese",300,no,no,yes,yes,,3.9
Ajay Juice Center And Fast Food,,Mansarovar,35 Dining Reviews,362 Delivery Reviews,"Beverage Shop, Quick Bites ","Beverages, Fast Food",300,yes,no,yes,yes,3.4,4
Ajeet Restaurant,,Chitrakoot,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,300,no,no,no,yes,,
Ajmer Ki Prassidh Kari Kachori,,Durgapura,10 Dining Reviews,Does not offer Delivery,Quick Bites ,Street Food,150,no,no,no,yes,3.2,
Ajooba Pan Bhandar,,Bais Godam,6 Dining Reviews,Does not offer Delivery,Paan Shop ,Paan,100,no,no,no,yes,3,
Akbari Hotel,,MI Road,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,Mughlai,200,no,no,no,yes,,
Aksay Nidhi Bakery,,Malviya Nagar,Does not offer Dining,125 Delivery Reviews,"Bakery, Quick Bites ","Bakery, Fast Food",350,no,no,yes,no,,4.1
Al Kareem Hotel,,Jhotwara,62 Dining Reviews,"1,855 Delivery Reviews",Quick Bites ,Mughlai,600,no,no,yes,yes,3,3.6
Al- Kareem Non Veg Hotel,,Pink City,8 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,400,no,no,yes,yes,2.8,
Al Madina Hotel,,Pink City,22 Dining Reviews,105 Delivery Reviews,Quick Bites ,"North Indian, Fast Food",300,no,no,yes,yes,3.1,4
Al Mohammadi,,Mansarovar,32 Dining Reviews,538 Delivery Reviews,Quick Bites ,North Indian,400,no,no,yes,yes,3.5,3.3
Al- Mujjammil Non-Veg Hotel,,Pink City,13 Dining Reviews,55 Delivery Reviews,Quick Bites ,North Indian,400,no,no,yes,yes,3.2,2.5
Al Noorani Chicken Biryani,,Jhotwara,56 Dining Reviews,222 Delivery Reviews,Quick Bites ,"Biryani, North Indian",200,no,no,yes,yes,3.6,3.9
Al Saifi Hotel,,Pink City,49 Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,300,no,no,no,yes,3.5,
Al Umar Take Away & Restaurant,,Adarsh Nagar,296 Dining Reviews,"2,754 Delivery Reviews",Quick Bites ,"North Indian, Mughlai",450,no,no,yes,yes,3.9,3.7
Alag Che,,Bani Park,31 Dining Reviews,Does not offer Delivery,,Gujarati,500,yes,no,no,yes,3.5,
Al-Amaan Non Veg Take Away,,Pink City,26 Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,400,no,no,no,yes,3.3,
Al-Habib Hotel,,Pink City,10 Dining Reviews,24 Delivery Reviews,Quick Bites ,"North Indian, Hyderabadi",500,no,no,yes,yes,3.5,3.7
Al-Habib Non Veg Take Away,,Adarsh Nagar,Does not offer Dining,259 Delivery Reviews,,"Mughlai, North Indian",350,no,no,yes,no,,2.8
Ali Chicken Centre,,Pink City,477 Dining Reviews,"1,171 Delivery Reviews",Quick Bites ,North Indian,350,no,no,yes,yes,4.2,4.1
Ali Fresh Chicken,,Tonk Phatak,35 Dining Reviews,105 Delivery Reviews,Quick Bites ,Hyderabadi,500,no,no,yes,yes,3.4,3.2
Alibaba 40 Chor,,Malviya Nagar,15 Dining Reviews,320 Delivery Reviews,Quick Bites ,North Indian,350,no,no,yes,yes,2.4,3.4
Ali's Chicken,,Mansarovar,Does not offer Dining,370 Delivery Reviews,,North Indian,400,no,no,yes,no,,3.2
All Spices - Hotel Marigold,,Sitapur,34 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Continental, Asian, Rajasthani","1,200",no,yes,no,yes,3.3,
Al-Lazeez Chicken,,Sanganer,12 Dining Reviews,164 Delivery Reviews,Quick Bites ,"North Indian, Fast Food",150,no,no,yes,yes,3.2,2.7
Al-Naimat,,Pink City,18 Dining Reviews,24 Delivery Reviews,Quick Bites ,"North Indian, Biryani",300,no,no,yes,yes,3.5,3.9
Aloo Kachaloo,,South Jaipur,18 Dining Reviews,24 Delivery Reviews,,"North Indian, Chinese",200,no,no,yes,yes,,
Altaf Hotel,,Malviya Nagar,16 Dining Reviews,119 Delivery Reviews,Quick Bites ,North Indian,350,no,no,yes,yes,3.3,3.5
AM To PM,,Khatipura Road,Does not offer Dining,Not enough Delivery Reviews,,"Fast Food, North Indian",200,no,no,yes,no,,
Amaldar Restaurant,,Jawahar Nagar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,350,no,no,no,yes,,
Amaltas Cafe,,Bani Park,15 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese, Continental",300,no,no,yes,yes,3.6,
Aman Rasoi,,Sanganer,Not enough Dining Reviews,Not enough Delivery Reviews,Mess ,North Indian,100,no,no,yes,yes,,
Amar Punjabi Dhaba,,Pink City,31 Dining Reviews,224 Delivery Reviews,Quick Bites ,North Indian,300,yes,no,yes,yes,3.4,3.7
Amar Punjabi Tadka Dhaba,,Mansarovar,226 Dining Reviews,"7,411 Delivery Reviews",Dhaba ,North Indian,200,yes,no,yes,yes,4,2.6
Amar Punjabi Tadka Dhaba,,Raja Park,70 Dining Reviews,"1,868 Delivery Reviews",Dhaba ,North Indian,200,no,no,yes,yes,3.2,2.9
Amar Quality Sweets,,Bani Park,20 Dining Reviews,Does not offer Delivery,Sweet Shop ,Mithai,100,yes,no,no,yes,3.4,
Amardeep Sweets,,Pink City,Does not offer Dining,357 Delivery Reviews,Sweet Shop ,Mithai,400,yes,no,yes,no,,4.6
Amarlal Sweet Caters,,Bani Park,14 Dining Reviews,Does not offer Delivery,Sweet Shop ,Mithai,300,yes,no,no,yes,3.3,
Amarsariya,,Mansarovar,35 Dining Reviews,685 Delivery Reviews,Casual Dining ,North Indian,600,no,no,yes,yes,3.2,3.8
Amarsariya,,Lal Kothi,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,500,no,no,yes,yes,,
Amazing Arena Sports & Lounge,,Malviya Nagar,79 Dining Reviews,Not enough Delivery Reviews,CAFÉ ,"Cafe, Fast Food",500,yes,no,yes,yes,3.6,
Ambarsariya,,Shyam Nagar,37 Dining Reviews,31 Delivery Reviews,Quick Bites ,North Indian,300,no,no,yes,yes,3.8,3.9
Ambarsariya Da Dhaba,,Sitapur,17 Dining Reviews,153 Delivery Reviews,Quick Bites ,North Indian,350,yes,no,yes,yes,3.4,3.5
Amber Bhojanalay,,Jhotwara,25 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Rajasthani, North Indian",300,yes,no,yes,yes,3.3,
Ambiance,,Shastri Nagar,9 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Italian, Fast Food",850,no,no,yes,yes,3,
Ambika Baker's & Confectioners,,Jawahar Nagar,Not enough Dining Reviews,Does not offer Delivery,Bakery ,"Bakery, Fast Food, Desserts",300,no,no,no,yes,,
Ambika Caters,,Pratap Nagar,Does not offer Dining,835 Delivery Reviews,,"North Indian, Fast Food, Street Food",200,no,no,yes,no,,2.7
Ambli Restaurent,,Sikar Road,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Chinese, Beverages",500,yes,no,yes,yes,,
Amer Haveli Restaurant & Bar,,Amer,18 Dining Reviews,50 Delivery Reviews,"Casual Dining, Bar ","North Indian, Finger Food","1,500",no,yes,yes,yes,3.5,2.8
American Grill,,Adarsh Nagar,36 Dining Reviews,Does not offer Delivery,Food Court ,Fast Food,500,no,no,no,yes,2.9,
Amigos Bar,,MI Road,26 Dining Reviews,Does not offer Delivery,Bar ,"Mexican, Finger Food","1,300",no,yes,no,yes,2.3,
Amit Juice Center,,Tonk Phatak,15 Dining Reviews,Does not offer Delivery,Beverage Shop ,Beverages,150,no,no,no,yes,3.4,
Amrit Ras Juice Parlour,,Durgapura,Not enough Dining Reviews,Does not offer Delivery,Kiosk ,Beverages,100,yes,no,no,yes,,
AmritDhaam,,Chitrakoot,Does not offer Dining,43 Delivery Reviews,,North Indian,200,yes,no,yes,no,,3.7
Amritsar House,,Malviya Nagar,508 Dining Reviews,"1,121 Delivery Reviews",Casual Dining ,"North Indian, Chinese, Mughlai, Fast Food, Biryani","1,300",no,yes,yes,yes,4.1,4
Amritsar Junction,,Tonk Road,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Chinese, North Indian, Beverages",500,no,no,yes,yes,,
Amritsari Chhole Kulche,,Raja Park,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Street Food, North Indian, Beverages",200,no,no,no,yes,,
Amritsari Junction,,Jawahar Nagar,Does not offer Dining,37 Delivery Reviews,,North Indian,600,no,no,yes,no,,3.9
Amritsari Kulche,,Raja Park,423 Dining Reviews,Does not offer Delivery,Quick Bites ,Street Food,200,yes,no,no,yes,4.1,
Amul,,Ajmer Highway,Does not offer Dining,Not enough Delivery Reviews,Dessert Parlor ,"Ice Cream, Beverages",300,no,no,yes,no,,
Anand Bakers & Confectionery,,Shastri Nagar,Does not offer Dining,Not enough Delivery Reviews,Bakery ,"Bakery, Desserts, Fast Food",250,no,no,yes,no,,
Anand Food Products,,Ajmer Highway,Not enough Dining Reviews,Not enough Delivery Reviews,Sweet Shop ,Mithai,100,no,no,yes,yes,,
Anand Ice-Cream Parlor,,MI Road,12 Dining Reviews,Does not offer Delivery,Dessert Parlor ,"Ice Cream, Desserts, Beverages",350,yes,no,no,yes,3,
Anand Misthan Bhandar,,Tonk Road,Does not offer Dining,"1,109 Delivery Reviews","Sweet Shop, Quick Bites ","Mithai, Street Food",500,yes,no,yes,no,,4.2
Anandam Foods,,Pink City,Does not offer Dining,Not enough Delivery Reviews,Sweet Shop ,"Mithai, Street Food",150,no,no,yes,no,,
Anandji Sweets,,Malviya Nagar,Does not offer Dining,"2,734 Delivery Reviews",Sweet Shop ,"Mithai, Street Food",250,no,no,yes,no,,4.1
Anand's Kitchen,,Mansarovar,9 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,300,no,no,yes,yes,3.6,
Anarkali Food Truck,,Pratap Nagar,8 Dining Reviews,41 Delivery Reviews,Food Truck ,"North Indian, Chinese",200,no,no,yes,yes,3.2,3.5
Anarkali Food Truck,,Sitapur,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, North Indian",200,no,no,no,yes,,
Anas Kulfi - Coffee Center,,Pink City,Not enough Dining Reviews,Not enough Delivery Reviews,Beverage Shop ,"Beverages, Desserts, Ice Cream",200,no,no,yes,yes,,
Anaye Bakers And Confectionery,,Tonk Road,8 Dining Reviews,Not enough Delivery Reviews,"Bakery, Dessert Parlor ","Bakery, Ice Cream, Fast Food",100,no,no,yes,yes,3.7,
Anda Adda,,Jagatpura,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Juices",300,no,no,no,yes,,
Andewalaz,,Adarsh Nagar,44 Dining Reviews,"1,087 Delivery Reviews",Food Court ,Fast Food,300,no,no,yes,yes,2.8,3.7
Andewalaz,,Gopalpura,129 Dining Reviews,"3,485 Delivery Reviews",Quick Bites ,Fast Food,300,no,no,yes,yes,3.7,3.6
Andhra Kitchen,,Jagatpura,12 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"South Indian, Andhra, Biryani",500,no,no,yes,yes,3.7,
Andhra Vilas - South Indian Foods,,Pratap Nagar,33 Dining Reviews,254 Delivery Reviews,Quick Bites ,"South Indian, Andhra",350,no,no,yes,yes,3.6,4.5
Andhra Vilas Biryani,,Sitapur,Does not offer Dining,21 Delivery Reviews,,Biryani,400,no,no,yes,no,,3.9
Angel Bakers And Fast Food,,Sodala,Does not offer Dining,Not enough Delivery Reviews,Bakery ,"Bakery, Fast Food",300,no,no,yes,no,,
Angel Resort,,Sikar Road,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,450,no,no,no,yes,,
